% Model:              cyclotron_simulation (1).mph
% Version:            COMSOL 6.3.0.420
% Date:               Jun 4 2025, 13:40
% Dimension:          3
% Nodes:              3890
% Expressions:        1
% Description:        Magnetic flux density, z-component
% Length unit:        in
% x                       y                        z                        mf.Bz (T)
-117                      0                        20.87483391517764        7.713535273923768E-6
-108.99999999999997       -1.1102230246251565E-16  17.988437256500408       -1.883156108614405E-5
-108.99999999999999       0                        20.454955248098774       -1.5689548957808445E-5
-114.7604473892434        3.3306690738754696E-16   22.67790274855313        1.1809529625680313E-5
-112.11648582742191       -2.220446049250313E-16   23.13079235301742        8.943791636437545E-6
-113.00000000000003       0                        23.524951552293736       5.807605773403237E-6
-113.00000000000003       1.1102230246251565E-16   24.634059475447426       1.9020729140885403E-5
-125                      4.440892098500626E-16    21.806991455584523       3.6216307801111977E-6
-118.71470316311522       2.220446049250313E-16    21.277472470961996       -3.156463664362817E-5
-108.99999999999997       -2.220446049250313E-16   15.370929880581674       -8.977276849744818E-5
-112.0315444481984        4.440892098500626E-16    12.682204010172388       4.549053750377368E-5
-77                       -1.1102230246251565E-16  -18.211358488787557      -1.093179794195741E-4
-72.63314173148328        -1.1102230246251565E-16  -20.614223400532637      4.4326039029459917E-5
-77                       -2.220446049250313E-16   -15.592228130065772      -6.156038493623453E-4
-75.40137122680623        0                        -16.190883716978256      5.636853801032896E-4
-72.53450253160604        -4.440892098500626E-16   -16.306544281114885      4.808347059871837E-4
-29.628586708053998       0                        -24.298619392150123      0.0011805835710160043
-29.571348306681863       -2.220446049250313E-16   -23.46307991544563       0.0021037565681401383
-28.598509194864903       -5.551115123125783E-17   -23.900120794634393      -8.10926009624347E-4
-30.24312968561002        -1.1102230246251565E-16  -23.481342897438175      5.721905353211675E-4
-26.826670111845182       -1.1102230246251565E-16  -23.92880970775669       -7.883809083754044E-4
-27.83837781786456        7.11236625150491E-14     -20.368681937873095      -2.7924964875414293E-4
-66.72696562091124        -5.551115123125783E-17   -43.33010254622718       -1.876254686606542E-5
-67.29886272242314        5.551115123125783E-17    -42.93284228494221       0.001309033590386924
-75.10151211317927        3.2959746043559335E-17   -41.45254103481834       5.258532405865623E-4
-67.32100930907379        5.551115123125783E-17    -42.53703457036354       8.725529589372943E-4
-66.91384251726903        0                        -42.8268429528862        0.0017409395468858287
-66.76499784811125        5.551115123125783E-17    -42.463485126618046      -6.113600379460076E-4
-65.49670083361924        0                        -43.32903240875564       1.2281051062846244E-4
-63.513504383604385       -4.440892098500626E-16   -50.07800011391119       -0.0012596232499674214
-59.743223802174825       -4.440892098500626E-16   -46.62117350207119       5.744535314884397E-4
-60.65456965133443        -8.881784197001252E-16   -52.93251898007556       -1.8521715774327368E-4
-65.93004697793123        5.551115123125783E-17    -42.35478852614633       0.0014811075198669546
-75.42518175811027        -1.457167719820518E-16   -41.38799139196301       0.0011306568798288555
